H1,Name,Dates,H4,H5
RunPeriodControl:SpecialDays,H67,16-Aug,1,Holiday;
RunPeriodControl:SpecialDays,H68,19-Aug,1,Holiday;
RunPeriodControl:SpecialDays,H69,22-Aug,1,Holiday;
RunPeriodControl:SpecialDays,H70,5-Sep,1,Holiday;
RunPeriodControl:SpecialDays,H71,6-Sep,1,Holiday;
RunPeriodControl:SpecialDays,H72,9-Sep,1,Holiday;
RunPeriodControl:SpecialDays,H73,12-Sep,1,Holiday;
RunPeriodControl:SpecialDays,H74,14-Sep,1,Holiday;
RunPeriodControl:SpecialDays,H75,16-Sep,1,Holiday;
RunPeriodControl:SpecialDays,H76,20-Sep,1,Holiday;
RunPeriodControl:SpecialDays,H77,22-Sep,1,Holiday;
RunPeriodControl:SpecialDays,H78,23-Sep,1,Holiday;
RunPeriodControl:SpecialDays,H79,26-Sep,1,Holiday;
RunPeriodControl:SpecialDays,H80,27-Sep,1,Holiday;
RunPeriodControl:SpecialDays,H81,6-Oct,1,Holiday;
RunPeriodControl:SpecialDays,H82,7-Oct,1,Holiday;
RunPeriodControl:SpecialDays,H83,10-Oct,1,Holiday;
RunPeriodControl:SpecialDays,H84,27-Oct,1,Holiday;
RunPeriodControl:SpecialDays,H85,28-Oct,1,Holiday;
RunPeriodControl:SpecialDays,H86,2-Nov,1,Holiday;
RunPeriodControl:SpecialDays,H87,7-Nov,1,Holiday;
RunPeriodControl:SpecialDays,H88,8-Nov,1,Holiday;
RunPeriodControl:SpecialDays,H89,10-Nov,1,Holiday;
RunPeriodControl:SpecialDays,H90,14-Nov,1,Holiday;
RunPeriodControl:SpecialDays,H91,29-Nov,1,Holiday;
RunPeriodControl:SpecialDays,H92,2-Dec,1,Holiday;
RunPeriodControl:SpecialDays,H93,13-Dec,1,Holiday;
RunPeriodControl:SpecialDays,H94,14-Dec,1,Holiday;
RunPeriodControl:SpecialDays,H95,16-Dec,1,Holiday;
RunPeriodControl:SpecialDays,H96,23-Dec,1,Holiday;
RunPeriodControl:SpecialDays,H97,26-Dec,1,Holiday;
RunPeriodControl:SpecialDays,H98,27-Dec,1,Holiday;
RunPeriodControl:SpecialDays,H99,29-Dec,1,Holiday;
RunPeriodControl:SpecialDays,H100,30-Dec,1,Holiday;
